[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:16 | 200 |     566.728µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     1.51693ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |     407.935µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     352.415µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     2.17853ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |     545.447µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |      528.65µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.912558ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |     551.815µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     593.244µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.612603ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    3.577066ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |     565.657µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     704.855µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     555.722µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    4.079439ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.601949ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     767.568µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |      836.06µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    4.993085ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |     871.453µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     819.335µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    5.765044ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.828852ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.013904ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.623108ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    2.073144ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |     822.394µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.732712ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.026215ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:16 | 200 |    1.862263ms |       127.0.0.1 | GET      "/shard/height"
